City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,77.47,moderate rain,-23.1203,-134.9692,People ThankYou
8,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
10,Tra Vinh,VN,79.7,overcast clouds,9.9347,106.3453,Hồng Ân
12,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
16,Butaritari,KI,82.31,broken clouds,3.0707,172.7902,Isles Sunset Lodge
17,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
18,Bengkulu,ID,79.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Contamana,PE,81.81,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
28,Vaini,TO,89.76,light rain,-21.2,-175.2,Keleti Beach Resort
29,Flinders,AU,89.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
39,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Buala,SB,82.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
43,Baturite,BR,77.72,broken clouds,-4.3286,-38.8847,Hotel Padre Cícero
46,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
47,Mataura,NZ,77.49,broken clouds,-46.1927,168.8643,Ellie's Villa
56,Isabela,PH,84.25,overcast clouds,6.7085,121.9711,Isawad Resort
59,Rockhampton,AU,84.09,broken clouds,-23.3833,150.5,Mercure Rockhampton
60,Tarakan,ID,76.5,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
64,Guatire,VE,76.21,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
69,Georgetown,MY,76.98,scattered clouds,5.4112,100.3354,Cititel Penang
79,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
86,Kalmunai,LK,78.78,overcast clouds,7.4167,81.8167,VS Villa
89,Tonj,SS,75.24,clear sky,7.2737,28.6822,Lakan Hotel
93,Atuona,PF,78.33,few clouds,-9.8,-139.0333,Villa Enata
95,Alappuzha,IN,76.06,broken clouds,9.49,76.3264,Panoramic Sea Resort
97,Namatanai,PG,80.08,light rain,-3.6667,152.4333,Seagulls Inn Namatani
99,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Sri Aman,MY,77.09,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
691,Fare,PF,79.54,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
