City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,53.26,71,40,24.16,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,-17.88,76,90,4.61,light shower snow
2,Cherskiy,RU,68.75,161.3,-24.57,95,100,1.63,overcast clouds
3,Muros,ES,42.7762,-9.0603,51.24,94,23,5.73,few clouds
4,Dikson,RU,73.5069,80.5464,-23.64,94,92,6.62,overcast clouds
5,Guerrero Negro,MX,27.9769,-114.0611,63.32,46,0,18.48,clear sky
6,Gorom-Gorom,BF,14.4439,-0.2361,68.54,17,35,10.65,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,77.47,76,100,12.57,moderate rain
8,Avarua,CK,-21.2078,-159.775,82.45,61,75,11.5,broken clouds
9,Bonavista,CA,48.6499,-53.1147,30.11,81,100,38.48,overcast clouds
10,Tra Vinh,VN,9.9347,106.3453,79.7,59,100,11.25,overcast clouds
11,Along,IN,28.1667,94.7667,54.97,44,0,1.28,clear sky
12,Tucuman,AR,-26.8241,-65.2226,78.8,73,0,3.44,clear sky
13,East London,ZA,-33.0153,27.9116,64.22,76,14,19.28,few clouds
14,Port Alfred,ZA,-33.5906,26.891,64.31,78,41,20.74,scattered clouds
15,Ahipara,NZ,-35.1667,173.1667,69.4,56,2,8.48,clear sky
16,Butaritari,KI,3.0707,172.7902,82.31,79,72,16.31,broken clouds
17,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,19.57,scattered clouds
18,Bengkulu,ID,-3.8004,102.2655,79.11,79,100,7.49,overcast clouds
19,Nanortalik,GL,60.1432,-45.2371,35.89,96,100,20.69,light rain
20,New Norfolk,AU,-42.7826,147.0587,74.7,31,99,7.0,overcast clouds
21,Kyshtovka,RU,56.555,76.6271,-2.9,98,100,5.99,overcast clouds
22,Busselton,AU,-33.65,115.3333,72.05,50,0,6.49,clear sky
23,Bethel,US,41.3712,-73.414,46.47,94,90,5.75,mist
24,Qaanaaq,GL,77.484,-69.3632,7.59,74,100,7.0,overcast clouds
25,Ponta Delgada,PT,37.7333,-25.6667,59.72,88,75,21.85,broken clouds
